Name,Skinport_URL,Steam_URL,Price,Currency,SalesThisWeek,7d_avg,24h_avg,GrowthRatio,BullishScore,LastUpdated
★ Survival Knife | Marble Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Survival%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Survival%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,252.94,USD,32,252.19,256.25,1.016,2.5591,2025-09-13T22:00:06.478782+00:00
★ Kukri Knife,https://skinport.com/market?search=%E2%98%85%20Kukri%20Knife,https://steamcommunity.com/market/listings/730/%E2%98%85%20Kukri%20Knife,274.47,USD,26,255.47,261.04,1.022,2.4844,2025-09-13T22:00:06.478782+00:00
★ Survival Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Survival%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Survival%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,228.69,USD,26,219.05,222.30,1.015,2.4674,2025-09-13T22:00:06.478782+00:00
★ Survival Knife | Rust Coat (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20Survival%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Survival%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,107.77,USD,15,100.38,111.39,1.110,2.4459,2025-09-13T22:00:06.478782+00:00
★ Talon Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Talon%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Talon%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,885.51,USD,23,857.77,880.52,1.027,2.4433,2025-09-13T22:00:06.478782+00:00
★ Skeleton Knife,https://skinport.com/market?search=%E2%98%85%20Skeleton%20Knife,https://steamcommunity.com/market/listings/730/%E2%98%85%20Skeleton%20Knife,613.56,USD,23,626.07,635.81,1.016,2.4172,2025-09-13T22:00:06.478782+00:00
★ Flip Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Flip%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Flip%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,427.72,USD,17,400.23,428.60,1.071,2.4151,2025-09-13T22:00:06.478782+00:00
★ Paracord Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Paracord%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Paracord%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,238.06,USD,25,238.32,237.45,0.996,2.4062,2025-09-13T22:00:06.478782+00:00
★ Kukri Knife | Blue Steel (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Kukri%20Knife%20%7C%20Blue%20Steel%20%28Minimal%20Wear%29,210.79,USD,15,203.69,219.21,1.076,2.3721,2025-09-13T22:00:06.478782+00:00
★ Talon Knife | Rust Coat (Battle-Scarred),https://skinport.com/market?search=%E2%98%85%20Talon%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Talon%20Knife%20%7C%20Rust%20Coat%20%28Battle-Scarred%29,476.00,USD,9,490.99,581.06,1.183,2.3669,2025-09-13T22:00:06.478782+00:00
★ Kukri Knife | Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Kukri%20Knife%20%7C%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Kukri%20Knife%20%7C%20Fade%20%28Factory%20New%29,480.22,USD,21,492.86,490.25,0.995,2.3300,2025-09-13T22:00:06.478782+00:00
★ Paracord Knife,https://skinport.com/market?search=%E2%98%85%20Paracord%20Knife,https://steamcommunity.com/market/listings/730/%E2%98%85%20Paracord%20Knife,167.38,USD,18,152.84,156.22,1.022,2.3291,2025-09-13T22:00:06.478782+00:00
★ Falchion Knife | Marble Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Falchion%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Falchion%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,343.44,USD,19,339.25,342.93,1.011,2.3260,2025-09-13T22:00:06.478782+00:00
★ Bowie Knife | Marble Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Bowie%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Bowie%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,326.01,USD,19,336.15,339.16,1.009,2.3216,2025-09-13T22:00:06.478782+00:00
★ Huntsman Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Huntsman%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Huntsman%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,315.33,USD,18,303.75,306.43,1.009,2.2989,2025-09-13T22:00:06.478782+00:00
★ Falchion Knife | Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Falchion%20Knife%20%7C%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Falchion%20Knife%20%7C%20Fade%20%28Factory%20New%29,414.19,USD,6,429.81,529.94,1.233,2.2749,2025-09-13T22:00:06.478782+00:00
★ Bowie Knife | Autotronic (Field-Tested),https://skinport.com/market?search=%E2%98%85%20Bowie%20Knife%20%7C%20Autotronic%20%28Field-Tested%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Bowie%20Knife%20%7C%20Autotronic%20%28Field-Tested%29,198.19,USD,11,188.30,205.91,1.094,2.2736,2025-09-13T22:00:06.478782+00:00
★ Huntsman Knife | Bright Water (Minimal Wear),https://skinport.com/market?search=%E2%98%85%20Huntsman%20Knife%20%7C%20Bright%20Water%20%28Minimal%20Wear%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Huntsman%20Knife%20%7C%20Bright%20Water%20%28Minimal%20Wear%29,152.43,USD,8,151.07,175.74,1.163,2.2734,2025-09-13T22:00:06.478782+00:00
★ Nomad Knife | Marble Fade (Factory New),https://skinport.com/market?search=%E2%98%85%20Nomad%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Nomad%20Knife%20%7C%20Marble%20Fade%20%28Factory%20New%29,536.87,USD,16,531.82,541.69,1.019,2.2718,2025-09-13T22:00:06.478782+00:00
★ Talon Knife,https://skinport.com/market?search=%E2%98%85%20Talon%20Knife,https://steamcommunity.com/market/listings/730/%E2%98%85%20Talon%20Knife,686.18,USD,16,654.57,666.62,1.018,2.2715,2025-09-13T22:00:06.478782+00:00
★ Falchion Knife | Tiger Tooth (Factory New),https://skinport.com/market?search=%E2%98%85%20Falchion%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,https://steamcommunity.com/market/listings/730/%E2%98%85%20Falchion%20Knife%20%7C%20Tiger%20Tooth%20%28Factory%20New%29,281.44,USD,15,272.73,278.77,1.022,2.2529,2025-09-13T22:00:06.478782+00:00
